Unnamed: 0,customer_id,firm_tx_count,firm_size_wallet,firm_name,total_wallet,firm_potential_wallet,firm_sow_fee,firm_sow_tx,customer_firms_count,total_tx_count,total_wallet_quintile,sow_bin
1332785,0x36599b0286d3c32f934bc8877eea839d88f3affc,1,4.170384914,opensea,4.170384914,0.0,1.0,1.0,1,1,2nd_quintile,Bin 5
68280,0xc9b410272480447c6961d3d887434cbef17af222,6,105.857749537,opensea,105.857749537,0.0,1.0,1.0,1,6,4th_quintile,Bin 5
1143929,0x023130c2e992cdaeb89bf2b5aa7b09539f1cb2d4,15,0.0,blur,292.9464744206,292.9464744206,0.0,0.2238805970149253,6,67,5th_quintile,Bin 1
1661183,0x3c9f507aaeb1bd61d60977165dc58f25753ba858,3,48.288678072,opensea,48.288678072,0.0,1.0,1.0,1,3,4th_quintile,Bin 5
723861,0xce8b790f11cd33e55025daf8a3564163286e227f,12,4.056451366,opensea,5.8955361790000005,1.8390848130000004,0.6880546981374058,0.7058823529411765,3,17,2nd_quintile,Bin 4
617157,0xcf2bdd6b582662460503f504de4354a59ef6602b,3,75.198552537,opensea,75.198552537,0.0,1.0,0.75,2,4,4th_quintile,Bin 5
1103288,0x8616b2e70ac2293b9cb782f629c6d63f48cd2f85,3,10.672129479,opensea,10.672129479,0.0,1.0,1.0,1,3,2nd_quintile,Bin 5
21657,0xb093626cb0ff92b1cdabae073df9d7a33dfde7b4,32,270.125940937,opensea,270.447965937,0.3220249999999964,0.99880929036059,0.9411764705882352,3,34,5th_quintile,Bin 5
840207,0x08c02b55c97ce90542ec10a4e4186af00b5a62ff,2,34.375735821,opensea,34.375735821,0.0,1.0,1.0,1,2,3rd_quintile,Bin 5
1137410,0x35068f80ef4785c14fda9cdd7598e415fadaa25f,3,106.39507,opensea,106.39507,0.0,1.0,1.0,1,3,4th_quintile,Bin 5
249679,0x303ba828d1e0d4ffd9d3ea3fabb4a534717e01dc,6,21.926232868,opensea,21.926232868,0.0,1.0,0.8571428571428571,2,7,3rd_quintile,Bin 5
225370,0x3e5a90f582d45cf83e0446d53b3069e86162003b,44,2730.99383406,opensea,2782.3998338736,51.40599981359992,0.9815245820576284,0.7457627118644068,6,59,5th_quintile,Bin 5
227264,0x3825fc868e8e66ed3764bb588859dddab6f04a74,1,14.38875,rarible,1275.6905611670002,1261.301811167,0.0112791851237318,0.0133333333333333,7,75,5th_quintile,Bin 1
941545,0x17a92829c073cbf321d509b8ca9508f760b56327,2,31.784092672,gem,31.784092672,0.0,1.0,1.0,1,2,3rd_quintile,Bin 5
1726493,0xb612884850f6f2dd04fb792e5ad4ff5b67ffeca6,1,0.01930605,looksrare,5.79646005,5.777154,0.0033306621340381,0.2,2,5,2nd_quintile,Bin 1
608099,0x39a285f33a2f4c5ad4180d575f128a795734804c,1,299.69688,opensea,299.69688,0.0,1.0,1.0,1,1,5th_quintile,Bin 5
533268,0x66249043e695b063e0de19138544b702033e9ef3,1,0.0,gem,1969.26606419,1969.26606419,0.0,0.0769230769230769,2,13,5th_quintile,Bin 1
1045963,0xb71cbfa19c03f9c3f1e6d9c25e03b2a6fe53f15e,2,0.8037322537,gem,16.9840397307,16.180307477,0.0473227963690634,0.1818181818181818,3,11,3rd_quintile,Bin 1
1810107,0x252851b6cbf5c99d74b5e41b65692b8104505b2f,1,0.09617705,gem,0.1877110699999999,0.0915340199999999,0.5123674911660778,0.5,2,2,1st_quintile,Bin 3
1677168,0x2ff0bca2fc878ce7949f86a53123f0c7a6a9b3fc,1,2.10712125,gem,9.493692725,7.386571475,0.2219495944345512,0.3333333333333333,2,3,2nd_quintile,Bin 2
750069,0xc074e62cf0e9339a7ede19a8e5b04be1fd3decef,5,4.893130297,gem,287.260295987,282.36716569,0.0170337856131062,0.0403225806451612,3,124,5th_quintile,Bin 1
567105,0xb9b125d08dfeda7b1b3405c2752260eb64b7b261,8,77.42792602,opensea,77.42792602,0.0,1.0,0.8888888888888888,2,9,4th_quintile,Bin 5
1274644,0xd134fb83385188c3d45753f4741e0e92434d4825,2,5.183244,looksrare,39.653259,34.470015,0.1307141993045262,0.2,2,10,3rd_quintile,Bin 1
1451790,0xbc741cd9b39f8be9ce7e4bcffa267da29f1aeba7,2,1.493478774,opensea,1.6465397093999998,0.1530609353999998,0.9070408478300378,0.6666666666666666,2,3,1st_quintile,Bin 5
449849,0x4f95ee90a5017fa8f9c972f9b3a839ca63f72a91,10,502.11536925,opensea,502.11536925,0.0,1.0,1.0,1,10,5th_quintile,Bin 5
1428202,0xb373bd1d80c962166608dec4b71377d3e81328b8,1,0.3978475,opensea,0.3978475,0.0,1.0,1.0,1,1,1st_quintile,Bin 5
1299236,0x907015369847014d4ebc688260a0059582827994,2,27.083333,opensea,27.083333,0.0,1.0,1.0,1,2,3rd_quintile,Bin 5
1537343,0x977cc79bff03cde5bd11bfa8888abf6aab7bdb52,6,68.560753826,opensea,68.560753826,0.0,1.0,1.0,1,6,4th_quintile,Bin 5
342850,0x998976b5284816c04b7891790634f1d833e2cb2f,57,1852.310901464,opensea,1852.310901464,0.0,1.0,0.9827586206896552,2,58,5th_quintile,Bin 5
831906,0xe28c0001560ca6501ab10e8b67064f7f885ca76c,1,4.582472077,opensea,4.582472077,0.0,1.0,1.0,1,1,2nd_quintile,Bin 5
601804,0xbf79ad5ece0f96c3170d8c6e0f858dc468543812,308,883.232769175,opensea,1182.6130608130002,299.38029163800013,0.7468484819268038,0.5384615384615384,4,572,5th_quintile,Bin 4
851251,0x98661737a33b522d59de36842afc35d35b8c8939,1,1.1000418,x2y2,1.1000418,0.0,1.0,1.0,1,1,1st_quintile,Bin 5
1230389,0x75df511e4a503e630cea0f83f6f15fbbd15483bb,1,0.1916575835,sudoswap,0.1916575835,0.0,1.0,1.0,1,1,1st_quintile,Bin 5
1238377,0x609e916eabb08a278aabff7c2c45be3356a06bcf,1,0.6938927452,opensea,0.6938927452,0.0,1.0,1.0,1,1,1st_quintile,Bin 5
1063475,0xc20a14ca8f1d9ed91554bb6af388a48772a4823f,3,0.16711926,blur,17.900792561,17.733673301,0.0093358581431806,0.0454545454545454,4,66,3rd_quintile,Bin 1
